time,stations,station_x_coordinate,station_y_coordinate,MSL
2014-01-01,527,9.792,40.569,0.049
2014-01-01,528,9.807,40.481,0.049
2014-01-01,529,9.763,40.408,0.049
2014-01-01,530,9.705,40.349000000000004,0.049
2014-01-01,531,9.646,40.276,0.049
2014-01-01,532,9.631,40.203,0.049
2014-01-01,533,9.69,40.129,0.049
2014-01-01,534,9.719,40.056,0.049
2014-01-01,535,9.705,39.968,0.049
2014-01-01,536,9.69,39.88,0.049
2014-01-01,537,9.69,39.792,0.049
2014-01-01,538,9.675,39.705,0.049
2014-01-01,539,9.661,39.617,0.049
2014-01-01,540,9.646,39.529,0.049
2014-01-01,541,9.631,39.426,0.049
2014-01-01,542,9.602,39.353,0.049
2014-01-01,543,9.602,39.28,0.049
2014-01-01,544,9.573,39.207,0.049
2014-01-01,545,9.543000000000001,39.119,0.049
2014-01-01,546,9.456,39.119,0.049
2014-01-01,547,9.368,39.177,0.049
2014-01-01,548,9.294,39.207,0.049
2014-01-01,549,9.207,39.221000000000004,0.049
2014-01-01,550,9.133000000000001,39.192,0.049
2014-01-01,551,9.045,39.177,0.049
2014-01-01,552,9.031,39.089,0.049
2014-01-01,553,9.031,39.001,0.049
2014-01-01,554,8.958,38.958,0.049
2014-01-01,555,8.884,38.899,0.049
2014-01-01,556,8.782,38.899,0.049
2014-01-01,557,8.723,38.914,0.049
2014-01-01,558,8.635,38.87,0.049
2014-01-01,559,8.591,38.928,0.049
2014-01-01,560,8.562,39.016,0.049
2014-01-01,561,8.489,39.06,0.049
2014-01-01,562,8.445,38.987,0.049
2014-01-01,563,8.372,39.016,0.049
2014-01-01,564,8.328,39.089,0.049
2014-01-01,565,8.254,39.104,0.049
2014-01-01,566,8.269,39.177,0.049
2014-01-01,567,8.357,39.221000000000004,0.049
2014-01-01,568,8.416,39.294000000000004,0.049
2014-01-01,569,8.386000000000001,39.353,0.049
2014-01-01,570,8.386000000000001,39.456,0.049
2014-01-01,571,8.43,39.529,0.049
2014-01-01,572,8.459,39.617,0.049
2014-01-01,573,8.445,39.705,0.049
2014-01-01,574,8.474,39.778,0.049
2014-01-01,575,8.445,39.851,0.049
2014-01-01,576,8.401,39.924,0.049
2014-01-01,577,8.386000000000001,40.012,0.049
2014-01-01,578,8.445,40.056,0.049
2014-01-01,579,8.474,40.115,0.049
2014-01-01,580,8.459,40.217,0.049
2014-01-01,581,8.459,40.305,0.048
2014-01-01,582,8.386000000000001,40.364000000000004,0.049
2014-01-01,583,8.386000000000001,40.452,0.049
2014-01-01,584,8.328,40.51,0.049
2014-01-01,585,8.269,40.569,0.049
2014-01-01,586,8.181000000000001,40.569,0.049
2014-01-01,587,8.152000000000001,40.627,0.049
2014-01-01,588,8.152000000000001,40.715,0.049
2014-01-01,589,8.167,40.803000000000004,0.049
2014-01-01,590,8.21,40.891,0.049
2014-01-01,591,8.196,40.964,0.049
2014-01-01,592,8.24,41.052,0.049
2014-01-01,593,8.298,41.111000000000004,0.049
2014-01-01,594,8.313,41.052,0.049
2014-01-01,595,8.254,41.008,0.049
2014-01-01,596,8.24,40.92,0.049
2014-01-01,597,8.298,40.862,0.049
2014-01-01,598,8.386000000000001,40.847,0.049
2014-01-01,599,8.474,40.833,0.048
2014-01-01,600,8.562,40.847,0.048
2014-01-01,601,8.635,40.891,0.048
2014-01-01,602,8.723,40.92,0.048
2014-01-01,603,8.811,40.95,0.049
2014-01-01,604,8.870000000000001,41.008,0.049
2014-01-01,605,8.943,41.052,0.048
2014-01-01,606,9.001,41.111000000000004,0.048
2014-01-01,607,9.089,41.14,0.048
2014-01-01,608,9.148,41.199,0.048
2014-01-01,609,9.221,41.257,0.048
2014-01-01,610,9.294,41.228,0.048
2014-01-01,611,10.906,42.371,0.047
2014-01-01,612,10.891,42.371,0.047
2014-01-01,613,10.906,42.385,0.047
2014-01-01,614,10.071,42.605000000000004,0.046
2014-01-01,615,16.897000000000002,42.722,0.044
2014-01-01,616,16.824,42.737,0.044
2014-01-01,617,16.853,42.781,0.044
2014-01-01,618,16.926000000000002,42.737,0.044
2014-01-01,619,10.422,42.737,0.045
2014-01-01,620,10.349,42.737,0.045
2014-01-01,621,10.261000000000001,42.737,0.045
2014-01-01,622,10.173,42.722,0.045
2014-01-01,623,10.115,42.795,0.045
2014-01-01,624,10.173,42.81,0.045
2014-01-01,625,10.261000000000001,42.825,0.045
2014-01-01,626,10.349,42.839,0.045
2014-01-01,627,10.437,42.869,0.045
2014-01-01,628,9.47,42.766,0.045
